Pβ2,Pα1,Pβ1,Pα2,P3,ps,pt-wt,ps-wt,V,α,β
-0.014646999999999999,0.725379,-0.304022,-0.615113,0.551651,-0.163123,0.8417,0.004042,40.014439,25.0,-5.0
-0.11631900000000002,0.791705,-0.40671,-0.732786,0.41058199999999995,-0.22019000000000002,0.84254,0.004545,39.959333,30.0,-5.0
-0.246617,0.826215,-0.5186550000000001,-0.852474,0.23803199999999997,-0.27860300000000005,0.841196,0.005219,40.019637,35.0,-5.0
-0.390382,0.8348000000000001,-0.638514,-0.9740169999999999,0.051344,-0.33061799999999997,0.844055,0.008419,40.000347,40.0,-5.0
-0.534985,0.819313,-0.774868,-1.090508,-0.141913,-0.365467,0.8507899999999999,0.013299,40.02734,45.0,-5.0
0.348461,0.060434999999999996,-0.194768,0.041918,1.299083,0.038381,1.306152,0.00033600000000000004,50.013649,0.0,-5.0
0.332471,0.316145,-0.214636,-0.206216,1.292178,0.016494,1.308676,0.0,50.035608,5.0,-5.0
0.28247300000000003,0.55973,-0.263451,-0.44744700000000004,1.250937,-0.023232,1.308846,0.002356,50.002151,10.0,-5.0
0.207057,0.783284,-0.325569,-0.668478,1.162053,-0.086865,1.309014,-0.00033600000000000004,50.025428,15.0,-5.0
0.100163,0.975362,-0.392233,-0.864592,1.0299070000000001,-0.165479,1.3110339999999998,0.003032,50.031336,20.0,-5.0
-0.048652,1.125016,-0.450647,-1.037986,0.8543240000000001,-0.252846,1.311034,0.0008420000000000001,50.020713,25.0,-5.0
-0.23752900000000002,1.2298930000000001,-0.576398,-1.2378069999999999,0.627572,-0.339879,1.31053,0.001512,49.981057,30.0,-5.0
-0.430274,1.290666,-0.762243,-1.405303,0.36815699999999996,-0.441723,1.312716,0.003705,49.995668,35.0,-5.0
-0.604004,1.294705,-1.02216,-1.5866060000000002,0.073734,-0.543234,1.311538,0.00589,50.018143,40.0,-5.0
-0.797091,1.2600259999999999,-1.283427,-1.765887,-0.23820000000000002,-0.7593810000000001,1.314908,0.010268,50.012185,45.0,-5.0
-0.032657000000000005,0.059424,-0.044778,-0.060939,-0.004881999999999999,-0.025754,0.058584000000000004,0.001008,10.04352,45.0,-5.0
-0.042257,0.054037999999999996,-0.052356,-0.06717100000000001,-0.019527999999999997,-0.027271,0.059424,-0.00033600000000000004,10.022098,50.0,-5.0
-0.055214000000000006,0.046969,-0.058079000000000006,-0.067508,-0.033499,-0.031981,0.058248,-0.001513,9.998698,55.0,-5.0
-0.06582099999999999,0.038887,-0.068516,-0.07120699999999999,-0.045957,-0.034846,0.055721,-0.002862,10.012088,60.0,-5.0
-0.072893,0.029796,-0.07912,-0.072051,-0.058584000000000004,-0.035518,0.055047,-0.0016840000000000002,10.011943,65.0,-5.0
-0.08215199999999999,0.018686,-0.086864,-0.073902,-0.07221999999999999,-0.038717,0.054542,-0.0028640000000000002,9.923403,70.0,-5.0
-0.089894,0.00909,-0.09242,-0.073903,-0.08147599999999999,-0.03838,0.056396,-0.000673,10.023695,75.0,-5.0
-0.09443900000000001,-0.00522,-0.096459,-0.076428,-0.09006099999999999,-0.047642000000000004,0.054374,-0.004042,9.99629,80.0,-5.0
-0.097974,-0.018181,-0.09982500000000001,-0.078279,-0.095616,-0.047812,0.054542,-0.004714,10.021881,85.0,-5.0
-0.097638,-0.031477,-0.09696400000000001,-0.07844799999999999,-0.097468,-0.046799999999999994,0.054206,-0.00505,10.050366,90.0,-5.0
-0.137032,0.214634,-0.18904400000000002,-0.265133,-0.033500999999999996,-0.096458,0.21531000000000003,-0.001347,20.115891,45.0,-5.0
-0.190727,0.201502,-0.209754,-0.27826500000000004,-0.08888399999999999,-0.148982,0.21429700000000002,0.00033600000000000004,20.081261,50.0,-5.0
-0.23029000000000002,0.179281,-0.23921099999999998,-0.277425,-0.137537,-0.163795,0.21429900000000002,0.001345,20.083914,55.0,-5.0
-0.266986,0.153023,-0.270015,-0.28803199999999995,-0.189885,-0.187024,0.21598100000000003,0.0025250000000000003,20.034442,60.0,-5.0
-0.29459799999999997,0.114639,-0.315132,-0.301498,-0.238368,-0.133831,0.215814,0.002862,20.015249,65.0,-5.0
-0.32405300000000004,0.073734,-0.349811,-0.29409199999999996,-0.282306,-0.14208099999999999,0.216488,0.002188,20.057564,70.0,-5.0
-0.352502,0.024409,-0.367486,-0.27338300000000004,-0.32052,-0.15958699999999998,0.216824,0.002863,20.028272,75.0,-5.0
-0.37371600000000005,-0.027268999999999998,-0.377588,-0.279612,-0.348631,-0.177093,0.21665600000000002,0.003706,19.996334,80.0,-5.0
-0.375904,-0.076596,-0.375734,-0.273214,-0.367147,-0.182143,0.21850399999999998,0.00589,20.05413,85.0,-5.0
-0.37337800000000004,-0.134167,-0.36176200000000003,-0.273889,-0.37843,-0.174903,0.218336,0.004714,20.049202,90.0,-5.0
-0.305369,0.46798799999999996,-0.43381100000000006,-0.6019829999999999,-0.076428,-0.211267,0.48465199999999997,0.001009,30.043164,45.0,-5.0
-0.42690900000000004,0.435832,-0.477076,-0.662755,-0.20183900000000002,-0.33432199999999995,0.48162000000000005,0.00016800000000000002,29.970208000000003,50.0,-5.0
-0.5164660000000001,0.390719,-0.549462,-0.685984,-0.317152,-0.3589,0.48465199999999997,0.0016810000000000002,30.073912,55.0,-5.0
-0.59424,0.325403,-0.618816,-0.6920439999999999,-0.43095,-0.386175,0.485661,0.003032,30.000421,60.0,-5.0
-0.638854,0.24645,-0.720666,-0.6154499999999999,-0.5257240000000001,-0.29089299999999996,0.48549299999999995,0.00505,30.038463,65.0,-5.0
-0.717804,0.154536,-0.772005,-0.45334,-0.6183099999999999,-0.312103,0.485828,0.0063950000000000005,30.049462999999996,70.0,-5.0
-0.786317,0.045115,-0.8250350000000001,-0.486503,-0.7141,-0.340047,0.48667,0.010100000000000001,30.010883999999997,75.0,-5.0
